Year,Month,Active Customers,No of Bills,No of Payments,Billing Index,Collection Index,Bill Amount (NGN),Collection Amount (NGN),Collection Efficiency,KwH CONSUMPTION,CSP CODE,SUPERVISOR CODE
2017,Aug,675,821,1,1.216296296,0.001218027,703620.72,10,0.0000142,35350,CSP125,SUP210
2017,Aug,1603,2707,1,1.688708671,0.000369413,2619842.76,200,0.0000763,140464,CSP046,SUP173
2017,Sep,622,1265,1,2.033762058,0.000790514,1281109.12,300,0.000234172,56933,CSP024,SUP162
2016,Dec,297,1152,1,3.878787879,0.000868056,5164346.58,2000,0.000387271,250223,CSP150,SUP109
2017,Aug,622,1265,2,2.033762058,0.001581028,1423717.8,1700,0.001194057,63270,CSP024,SUP162
2017,Jan,297,1161,4,3.909090909,0.003445306,4268972.83,9100,0.00213166,207172,CSP150,SUP109
2016,Oct,1650,514,6,0.311515152,0.011673152,2036511.4,8000,0.003928286,100090,CSP149,SUP285
2017,Aug,1441,2168,10,1.504510756,0.004612546,2443480.2,9900,0.004051598,108542,CSP119,SUP106
2016,Oct,1006,649,14,0.645129225,0.021571649,2878043.65,18500,0.006427978,138947,CSP155,SUP329
2017,Jun,1894,1250,69,0.659978881,0.0552,20055242.9,129200,0.006442206,805770,CSP097,SUP011
2016,Sep,1918,2677,55,1.395724713,0.020545387,8199103.5,55550,0.006775131,403284,CSP127,SUP137
2017,Nov,622,903,170,1.451768489,0.188261351,6789307.38,53140,0.007827013,301694,CSP024,SUP162
2016,Nov,322,1151,15,3.574534161,0.013032146,6709845.48,61000,0.009091118,324108,CSP150,SUP109
2017,Apr,1599,1563,122,0.977485929,0.078055022,9241655.9,87650,0.009484231,396650,CSP094,SUP212
2016,Sep,1006,649,19,0.645129225,0.029275809,2726722,27050,0.009920337,131800,CSP155,SUP329
2016,Nov,40,310,16,7.75,0.051612903,1977059.4,20500,0.010368935,98135,CSP160,SUP008
2016,Nov,62,557,14,8.983870968,0.02513465,1325759,14000,0.010559989,75050,CSP049,SUP037
2017,Apr,1278,672,75,0.525821596,0.111607143,12489933.58,141600,0.01133713,503740,CSP097,SUP011
2016,Sep,1335,982,98,0.735580524,0.099796334,5213943,69940,0.013414032,261766,CSP094,SUP212
2016,Nov,296,211,13,0.712837838,0.061611374,1178236.8,16000,0.013579613,59130,CSP123,SUP254
2018,Feb,2637,2515,187,0.953735305,0.074353877,19091082.6,287440,0.015056244,839906,CSP127,SUP069
2016,Sep,296,211,13,0.712837838,0.061611374,829985.4,12800,0.015421958,42240,CSP123,SUP254
2016,Oct,322,1093,17,3.394409938,0.015553522,5027232.46,88100,0.017524553,242621,CSP150,SUP109
2017,Nov,1603,2241,685,1.398003743,0.305667113,16535105.19,291520,0.017630369,749312,CSP046,SUP173
2017,May,62,550,17,8.870967742,0.030909091,1720727.16,30600,0.01778318,85194,CSP049,SUP037
2016,Oct,1596,1258,29,0.788220551,0.023052464,611715.6,10890,0.017802391,30192,CSP046,SUP084
2017,Jun,296,223,24,0.753378378,0.107623318,1091827.1,19950,0.018272124,50189,CSP123,SUP254
2016,Sep,955,557,52,0.583246073,0.093357271,799130.7,15500,0.019396076,39420,CSP072,SUP059
2016,Sep,983,1687,190,1.716174975,0.112625963,12003118.91,245800,0.020478011,551524,CSP118,SUP225
2017,Jul,1894,1250,196,0.659978881,0.1568,17399268.1,361500,0.020776736,703610,CSP097,SUP011
2017,Nov,3625,3429,477,0.945931034,0.139107612,27997935.48,603250,0.021546232,1217615,CSP094,SUP212
2017,Apr,296,475,81,1.60472973,0.170526316,5127083.77,113920,0.022219259,230587,CSP123,SUP254
2017,Apr,1802,2023,252,1.122641509,0.124567474,13324716.52,304200,0.022829754,574912,CSP118,SUP225
2016,Nov,549,781,98,1.422586521,0.125480154,10495711.19,242100,0.023066565,504095,CSP032,SUP283
2016,Oct,229,157,6,0.68558952,0.038216561,512318.12,12000,0.023422947,25187,CSP061,SUP256
2017,Apr,433,667,80,1.540415704,0.11994003,5163267.94,125360,0.024279197,229131,CSP125,SUP311
2017,Nov,1441,1952,830,1.354614851,0.425204918,15159884.28,370840,0.024461928,673296,CSP119,SUP106
2016,Oct,1320,403,37,0.30530303,0.091811414,4112449.6,106900,0.02599424,181370,CSP129,SUP272
2017,Jan,40,295,24,7.375,0.081355932,1382411.8,36320,0.026272924,67930,CSP080,SUP315
2016,Sep,671,1445,106,2.153502235,0.073356401,2806124.87,74400,0.026513432,137551,CSP119,SUP106
2016,Dec,1650,514,40,0.311515152,0.077821012,1805364.9,48950,0.027113632,88740,CSP149,SUP285
2017,May,1278,672,112,0.525821596,0.166666667,7882791.38,218200,0.02768055,317582,CSP097,SUP011
2016,Oct,62,552,8,8.903225806,0.014492754,1016512.6,28500,0.028037036,59770,CSP049,SUP037
2017,Jul,296,223,36,0.753378378,0.161434978,1398738.5,39250,0.028060999,63839,CSP123,SUP254
2016,Nov,1006,648,49,0.644135189,0.075617284,2662258.53,76500,0.028735,128188,CSP155,SUP329
2017,Mar,684,503,41,0.735380117,0.081510934,1730158.5,50700,0.029303674,75450,CSP132,SUP349
2016,Sep,605,916,13,1.514049587,0.01419214,962265.6,28800,0.029929367,55820,CSP075,SUP217
2016,Oct,296,211,33,0.712837838,0.156398104,1153437.84,35150,0.030474117,57909,CSP123,SUP254
2018,Apr,1154,1030,136,0.89254766,0.132038835,3071875.8,94950,0.030909453,150520,CSP123,SUP078
2017,Mar,215,812,48,3.776744186,0.0591133,3032380.5,93900,0.030965771,121800,CSP098,SUP118
2017,Sep,1603,2647,215,1.651278852,0.081224027,2228704.74,71220,0.031955781,121921,CSP046,SUP173
2017,Dec,622,1513,384,2.432475884,0.253800397,4592832,147865,0.032194733,210030,CSP024,SUP162
2018,Apr,1603,2450,802,1.528384279,0.327346939,9990905,329685,0.032998512,462320,CSP046,SUP098
2016,Sep,1483,1346,159,0.90761969,0.118127786,8555545.82,285600,0.033381856,404787,CSP009,SUP012
2016,Dec,40,295,23,7.375,0.077966102,1476128.7,50000,0.033872385,72495,CSP080,SUP315
2016,Oct,1878,1962,152,1.044728435,0.077471967,4375768.23,149100,0.034074017,212616,CSP145,SUP251
2016,Sep,654,1656,201,2.532110092,0.121376812,7868857.82,268220,0.034086268,389592,CSP157,SUP255
2017,Dec,1603,2241,531,1.398003743,0.236947791,6432140.1,219690,0.03415504,300470,CSP046,SUP173
2016,Oct,1257,1902,124,1.513126492,0.065194532,6695888.5,236340,0.035296287,330310,CSP170,SUP006
2017,May,1512,1829,275,1.209656085,0.150355385,3854285.76,137590,0.035697924,189094,CSP046,SUP173
2016,Oct,1883,2060,327,1.093998938,0.158737864,14244376.92,508500,0.035698297,700474,CSP109,SUP259
2017,May,293,210,52,0.716723549,0.247619048,2455525,88000,0.03583755,105000,CSP082,SUP229
2016,Sep,1592,1017,107,0.638819095,0.105211406,2855973.44,102910,0.036033248,141345,CSP010,SUP018
2016,Oct,415,1074,41,2.587951807,0.038175047,5751559.52,209860,0.036487495,281382,CSP085,SUP028
2017,Jul,378,762,65,2.015873016,0.085301837,3223930.13,117700,0.036508235,142558,CSP125,SUP210
2017,Apr,937,1069,136,1.140875133,0.127221703,6399361.4,235250,0.036761481,283449,CSP109,SUP259
2016,Oct,1129,749,33,0.663418955,0.044058745,2452168.31,90500,0.036906113,120221,CSP062,SUP251
2016,Nov,533,255,44,0.478424015,0.17254902,1650109,61800,0.037452071,81137,CSP050,SUP127
2016,Sep,852,958,148,1.124413146,0.154488518,6818288.18,257400,0.037751411,332168,CSP095,SUP250
2017,Mar,357,532,41,1.490196078,0.077067669,1439196,54400,0.037798882,63920,CSP021,SUP095
2016,Sep,1596,1258,141,0.788220551,0.112082671,1273759.18,48300,0.037919256,62868,CSP046,SUP084
2016,Sep,2121,3074,311,1.44931636,0.101171113,14276700.67,543350,0.038058513,690001,CSP003,SUP183
2017,Apr,165,1208,73,7.321212121,0.060430464,5765461.06,219900,0.038140922,251893,CSP150,SUP109
2017,Mar,296,212,37,0.716216216,0.174528302,1372677,52500,0.038246434,61966,CSP123,SUP254
2017,Sep,3296,4169,612,1.264866505,0.146797793,33862198.1,1326200,0.039164616,1469740,CSP153,SUP346
2016,Dec,40,322,29,8.05,0.090062112,1128610.7,45000,0.03987203,56370,CSP160,SUP008
2017,Nov,1154,831,99,0.720103986,0.119133574,1752737.53,70100,0.039994579,88535,CSP123,SUP254
2016,Oct,549,781,110,1.422586521,0.14084507,7550933.18,305000,0.040392358,363653,CSP032,SUP283
2017,May,296,474,84,1.601351351,0.17721519,2342003.1,94770,0.040465361,106953,CSP123,SUP254
2016,Sep,1278,816,66,0.638497653,0.080882353,3257737.2,131900,0.040488226,146880,CSP097,SUP011
2016,Nov,184,54,3,0.293478261,0.055555556,98463.6,4000,0.040624149,4860,CSP086,SUP251
2016,Dec,983,1688,196,1.717192269,0.116113744,5840190.4,237500,0.040666482,269310,CSP118,SUP225
2018,Apr,622,1411,649,2.268488746,0.459957477,6300026,258210,0.040985545,285900,CSP024,SUP246
2017,Apr,411,1271,472,3.092457421,0.371361133,8037928.36,331030,0.041183497,368096,CSP072,SUP059
2017,Apr,654,1213,233,1.854740061,0.192085738,8017923.96,330500,0.041220146,325081,CSP069,SUP137
2017,Jun,533,129,21,0.242026266,0.162790698,786977.4,32700,0.041551384,34926,CSP050,SUP052
2018,Apr,675,693,107,1.026666667,0.154401154,2414325.4,101700,0.042123568,106780,CSP125,SUP249
2017,Jan,296,210,20,0.709459459,0.095238095,730606.7,31000,0.04243049,37145,CSP123,SUP254
2017,Sep,3798,3719,541,0.979199579,0.145469212,27566139.85,1169680,0.042431766,1203076,CSP138,SUP288
2016,Dec,943,1961,241,2.079533404,0.122896481,7884570.2,337600,0.042817806,382415,CSP028,SUP326
2017,Apr,1773,2844,426,1.604060914,0.14978903,22377913.28,960100,0.042903911,975791,CSP153,SUP346
2016,Sep,943,1932,263,2.048780488,0.136128364,9878728.68,424200,0.042940748,478828,CSP028,SUP326
2017,Mar,330,638,295,1.933333333,0.462382445,2344373.04,100670,0.042941118,104175,CSP024,SUP162
2018,Apr,1441,2344,1043,1.626648161,0.44496587,11228596.5,494615,0.044049584,503175,CSP119,SUP260
2017,Dec,1154,893,128,0.773830156,0.143337066,2235287.4,99110,0.044338817,111910,CSP123,SUP254
2016,Dec,1596,2054,185,1.286967419,0.09006816,1930637.65,87130,0.045130167,108240,CSP046,SUP084
2017,Mar,230,297,31,1.291304348,0.104377104,1009309.5,46700,0.046269256,44550,CSP052,SUP248
2017,Apr,293,368,50,1.255972696,0.135869565,1789613.2,83000,0.046378737,77420,CSP082,SUP229
2016,Sep,508,762,119,1.5,0.156167979,5600542.05,261600,0.046709764,258755,CSP147,SUP190
2017,Aug,2434,1288,418,0.52917009,0.324534161,16771583.25,792100,0.047228696,671271,CSP097,SUP011
2017,May,291,188,27,0.64604811,0.143617021,1372669.95,65200,0.047498672,51355,CSP129,SUP272
2017,Nov,4216,5919,1872,1.403937381,0.31626964,48617677.25,2314060,0.047597091,2041878,CSP118,SUP225
2017,Sep,724,1107,238,1.529005525,0.214995483,4569452.09,219050,0.047937914,218320,CSP075,SUP353
2018,Jan,622,1513,673,2.432475884,0.444811633,5576047.4,269370,0.048308413,253720,CSP024,SUP162
2017,Apr,635,1186,249,1.867716535,0.20994941,7976375.5,385700,0.048355296,354060,CSP117,SUP196
2016,Sep,842,242,35,0.287410926,0.144628099,848050.42,41400,0.048817852,40102,CSP040,SUP104
2017,Jun,702,605,126,0.861823362,0.208264463,4380538.81,215500,0.049194861,186070,CSP082,SUP229
2017,Sep,2753,3217,499,1.168543407,0.15511346,15649794,770787,0.049252214,694090,CSP170,SUP006
2017,Jun,378,763,87,2.018518519,0.114023591,2578699.94,127100,0.049288402,113756,CSP125,SUP264
2017,Sep,3339,4104,744,1.229110512,0.18128655,25945448.15,1283110,0.049454147,1142926,CSP109,SUP259
2016,Dec,2121,3080,332,1.452145215,0.107792208,11536326.34,573100,0.04967786,557324,CSP003,SUP183
2016,Nov,654,1656,394,2.532110092,0.237922705,7814281.16,388900,0.049767854,386536,CSP157,SUP255
2016,Nov,272,798,57,2.933823529,0.071428571,5519521.7,275230,0.049864828,268040,CSP020,SUP262
2018,Feb,1154,1017,123,0.881282496,0.120943953,1897020.6,94680,0.049909843,98300,CSP123,SUP254
2016,Sep,1883,2062,408,1.095061073,0.197866149,11084809.45,555770,0.050137984,545080,CSP109,SUP259
2016,Sep,533,255,46,0.478424015,0.180392157,1169171.28,58700,0.050206502,57513,CSP050,SUP127
2017,Apr,738,1127,181,1.527100271,0.160603372,8324736.12,418000,0.050211802,364212,CSP170,SUP006
2016,Sep,786,585,64,0.744274809,0.109401709,1604682.7,80690,0.050284084,79780,CSP060,SUP309
2017,Apr,552,863,447,1.563405797,0.517960603,4724559.55,238030,0.050381416,228143,CSP105,SUP142
2018,Jan,1441,2320,955,1.60999306,0.411637931,9013146.6,454235.93,0.050397042,404682,CSP119,SUP106
2016,Dec,296,210,16,0.709459459,0.076190476,923380.6,46720,0.050596688,46660,CSP123,SUP254
2017,Mar,320,801,98,2.503125,0.122347066,2308073.8,117180,0.050769607,102000,CSP102,SUP331
2017,Dec,3625,3703,789,1.021517241,0.213070483,18293597.2,928880,0.050776236,799824,CSP094,SUP212
2016,Nov,671,1569,346,2.338301043,0.220522626,3313864.59,168270,0.050777573,162321,CSP119,SUP106
2017,Apr,1039,653,92,0.628488932,0.140888208,4593015,233300,0.050794522,195060,CSP138,SUP288
2017,Mar,40,452,94,11.3,0.207964602,2160350.6,111200,0.051473127,96640,CSP160,SUP008
2018,Jan,1603,2244,978,1.399875234,0.435828877,7711917.7,399595,0.051815257,357290,CSP046,SUP173
2016,Nov,378,745,92,1.970899471,0.123489933,3190633.59,166100,0.052058626,152511,CSP125,SUP311
2017,Feb,322,1163,54,3.611801242,0.046431642,3182759.01,166700,0.052375942,139050,CSP150,SUP109
2017,Jan,930,1442,163,1.550537634,0.113037448,3678654.02,194100,0.052763864,183767,CSP117,SUP196
2016,Dec,1257,1902,98,1.513126492,0.051524711,4291559.4,226600,0.05280132,211640,CSP170,SUP006
2016,Nov,1596,1258,155,0.788220551,0.123211447,948818.6,50230,0.052939519,46830,CSP046,SUP084
2016,Dec,930,1459,129,1.568817204,0.088416724,3154965.12,167150,0.052979983,159057,CSP117,SUP196
2017,Mar,293,321,57,1.09556314,0.177570093,1861196.44,98700,0.053030404,79977,CSP082,SUP229
2016,Sep,1981,2488,383,1.255931348,0.153938907,14980226.39,796210,0.053150732,718512,CSP007,SUP266
2017,Jul,1375,1204,210,0.875636364,0.174418605,6605557.76,353100,0.053454986,292189,CSP011,SUP223
2017,Nov,1039,1487,702,1.431183831,0.472091459,11260727.2,605740,0.053792263,493075,CSP157,SUP255
2016,Sep,930,1445,193,1.553763441,0.133564014,4597769.9,247900,0.053917444,230025,CSP117,SUP196
2017,Feb,40,455,66,11.375,0.145054945,1642496.5,88700,0.054003159,73686,CSP160,SUP008
2016,Sep,491,381,85,0.775967413,0.223097113,2089648.42,113800,0.054458922,102714,CSP115,SUP221
2017,Feb,1596,2001,215,1.253759398,0.107446277,1343913.3,73470,0.054668705,74871,CSP046,SUP263
2017,Jul,1257,1944,271,1.546539379,0.139403292,8968527,490600,0.054702405,398190,CSP170,SUP006
2017,Sep,3625,2170,395,0.59862069,0.18202765,8323983.8,460800,0.055358109,376964,CSP094,SUP212
2017,Apr,295,530,140,1.796610169,0.264150943,3902154.36,216350,0.055443732,170151,CSP028,SUP326
2017,Jul,702,609,164,0.867521368,0.269293924,4986782,277500,0.055647109,211920,CSP082,SUP229
2017,Aug,1393,1582,275,1.135678392,0.173830594,10249202.9,572250,0.05583361,449967,CSP124,SUP185
2016,Sep,1306,1429,201,1.094180704,0.140657803,8620504.7,483000,0.056029202,416645,CSP027,SUP120
2016,Nov,1650,514,101,0.311515152,0.196498054,2045439.9,115280,0.056359515,100570,CSP149,SUP285
2017,Sep,2896,4266,880,1.473066298,0.206282232,27392015.14,1547970.64,0.056511747,1186191,CSP003,SUP183
2017,Jan,1650,469,54,0.284242424,0.115138593,1033626.2,58730,0.05681938,51300,CSP149,SUP285
2017,Apr,1512,1692,500,1.119047619,0.295508274,4099387.05,233265,0.056902409,198530,CSP046,SUP263
2017,Sep,1303,968,185,0.742900998,0.191115702,5670673.9,322960,0.056952667,251188,CSP117,SUP196
2017,Apr,2121,2612,627,1.231494578,0.240045942,16650277.9,949630,0.057033883,723045,CSP003,SUP183
2016,Oct,40,281,54,7.025,0.192170819,1464408,83600,0.057087915,72890,CSP160,SUP008
2017,Dec,4216,5919,1538,1.403937381,0.259841189,33550468,1916520,0.057123495,1408370,CSP118,SUP225
2018,Feb,622,1383,515,2.223472669,0.372378886,3377228.4,193610,0.057328074,156000,CSP024,SUP162
2017,Aug,1083,1712,611,1.58079409,0.356892523,5414096.5,310700,0.05738723,276038,CSP105,SUP202
2016,Dec,378,745,98,1.970899471,0.131543624,2606975.28,149610,0.057388346,124788,CSP125,SUP311
2018,Jan,1154,893,189,0.773830156,0.211646137,2638591.8,151540,0.05743215,129670,CSP123,SUP254
2018,Mar,1154,1030,160,0.89254766,0.155339806,2333100.15,134320,0.057571468,117825,CSP123,SUP254
2017,May,165,1208,83,7.321212121,0.068708609,5234563.41,301900,0.057674342,228453,CSP150,SUP109
2016,Nov,415,1116,87,2.689156627,0.077956989,6632914.25,384270,0.057933811,324835,CSP085,SUP028
2016,Sep,921,1446,264,1.570032573,0.182572614,9263528.88,538550,0.058136592,440163,CSP081,SUP297
2017,Sep,4216,4274,1059,1.013757116,0.247777258,23382409.35,1371650,0.058661619,1018765,CSP118,SUP225
2017,Nov,3918,3929,1186,1.002807555,0.301857979,27236589.51,1602450,0.058834459,1153656,CSP155,SUP329
2017,Jun,671,1640,135,2.444113264,0.082317073,3362048.96,198000,0.058892658,152722,CSP119,SUP106
2016,Dec,1006,648,89,0.644135189,0.137345679,1659832.32,98500,0.059343344,80157,CSP155,SUP329
2016,Nov,1878,1949,294,1.037806177,0.150846588,5295856.62,315400,0.059555993,262778,CSP145,SUP251
2017,Mar,322,1187,101,3.686335404,0.085088458,5095188.8,306674.78,0.060189091,222692,CSP150,SUP109
2017,Dec,1441,2320,996,1.60999306,0.429310345,7484808,455485,0.0608546,336832,CSP119,SUP106
2016,Oct,943,1932,454,2.048780488,0.234989648,13173884.45,803100,0.060961518,638095,CSP028,SUP326
2018,Mar,1603,2245,945,1.400499064,0.420935412,6452690.95,394590,0.061151232,301205,CSP046,SUP173
2017,Apr,452,795,367,1.758849558,0.46163522,9388021.61,577700,0.061535862,417079,CSP012,SUP148
2016,Sep,1224,2652,313,2.166666667,0.118024133,11699254.2,732850,0.062640745,568310,CSP153,SUP346
2018,Jan,940,1074,409,1.142553191,0.380819367,9595482.2,604200,0.062967133,425730,CSP021,SUP095
2017,Sep,3984,3465,427,0.869728916,0.123232323,14697980.48,926340,0.063024985,639011,CSP011,SUP223
2017,Dec,940,1074,392,1.142553191,0.364990689,9193920.78,581800,0.063280946,407764,CSP021,SUP095
2017,Aug,3339,4077,1053,1.221024259,0.258278146,27911234.95,1788860,0.064091037,1229296,CSP109,SUP259
2017,Apr,1918,1462,776,0.762252346,0.530779754,17542961.3,1135060,0.064701733,743520,CSP127,SUP157
2016,Nov,930,1459,270,1.568817204,0.185058259,5653256.45,367060,0.064928949,278377,CSP117,SUP196
2018,Apr,2637,2197,412,0.833143724,0.187528448,9188635.34,597505,0.065026522,402328,CSP127,SUP069
2017,Jul,3361,1782,285,0.530199345,0.15993266,5034002.95,327850,0.065127097,231245,CSP094,SUP212
2017,Sep,1982,1384,212,0.698284561,0.153179191,12871891.26,839100,0.065188556,542609,CSP040,SUP104
2017,Jun,786,224,29,0.284987277,0.129464286,1698637.1,111400,0.065581989,72690,CSP111,SUP268
2017,Sep,452,387,153,0.85619469,0.395348837,3061649.82,201300,0.065748865,135800,CSP012,SUP231
2016,Oct,254,599,48,2.358267717,0.080133556,1974489.31,131400,0.066548854,97096,CSP169,SUP135
2016,Dec,272,813,69,2.988970588,0.084870849,5316394.56,354300,0.066642909,259056,CSP020,SUP262
2016,Oct,852,958,299,1.124413146,0.312108559,8028050.74,535700,0.066728527,390820,CSP095,SUP250
2017,Nov,2753,3651,941,1.326189611,0.257737606,21654935,1446050,0.066776926,958591,CSP170,SUP006
2016,Dec,62,557,60,8.983870968,0.107719928,1071004.8,71600,0.066853108,62820,CSP049,SUP037
2018,Mar,622,1383,735,2.223472669,0.531453362,4211018.9,282180,0.067009911,193060,CSP024,SUP162
2018,Feb,675,2002,423,2.965925926,0.211288711,11335325.9,760200,0.06706468,502767,CSP098,SUP026
2017,Nov,724,1287,638,1.777624309,0.495726496,8588860,577550,0.067244081,401058,CSP075,SUP353
2017,Apr,1480,3147,978,2.126351351,0.310772164,17323925.34,1168800,0.067467388,745713,CSP009,SUP012
2016,Dec,654,1648,274,2.519877676,0.166262136,4051716.14,274500,0.06774907,202054,CSP157,SUP255
2017,Sep,1580,2922,631,1.849367089,0.215947981,18791384.67,1274550,0.067826295,807011,CSP081,SUP297
2016,Nov,943,1932,575,2.048780488,0.297619048,13549612.4,920280,0.067919286,657070,CSP028,SUP326
2017,Sep,2434,1287,654,0.528759244,0.508158508,15640983.33,1063525,0.067996045,626733.5,CSP097,SUP011
2017,Jun,1257,1965,239,1.563245823,0.121628499,5550824.3,377600,0.068025933,246560,CSP170,SUP006
2017,Jun,955,676,202,0.707853403,0.298816568,1083407.28,73710,0.068035356,48127,CSP072,SUP168
2017,Aug,2753,3619,924,1.314565928,0.255319149,20185522.4,1376000,0.068167669,893481,CSP170,SUP006
2018,Jan,675,1975,556,2.925925926,0.281518987,13163780.1,897560,0.068184062,583347,CSP098,SUP026
2018,Mar,1441,2350,1067,1.630811936,0.454042553,7602365.1,519185,0.068292563,342052,CSP119,SUP106
2017,Sep,1393,1095,183,0.786073223,0.167123288,6326271.4,432350,0.068341994,276597,CSP124,SUP185
2017,Apr,291,280,30,0.962199313,0.107142857,1536303.95,105250,0.068508579,61330,CSP129,SUP272
2017,Sep,2240,4255,1243,1.899553571,0.29212691,27834624.14,1907900,0.068544127,1210864,CSP028,SUP326
2016,Oct,654,1656,531,2.532110092,0.320652174,6797044.7,471500,0.069368383,336900,CSP157,SUP255
2017,Mar,533,183,49,0.343339587,0.267759563,1357929.9,95000,0.069959429,60262,CSP050,SUP127
2016,Nov,983,1688,532,1.717192269,0.315165877,9124510,638650,0.0699928,420600,CSP118,SUP225
2018,Feb,940,1092,342,1.161702128,0.313186813,7005773,490600,0.070027961,310940,CSP021,SUP095
2017,Jan,293,285,54,0.972696246,0.189473684,1404272.41,99000,0.070499142,66676,CSP082,SUP229
2016,Nov,1375,955,145,0.694545455,0.151832461,2776471.27,196680,0.070838118,138202,CSP011,SUP223
2017,Aug,3625,2171,659,0.598896552,0.303546753,11180307.5,793500,0.070973003,503374,CSP094,SUP212
